,CCV_GSWP3-W5E5,SCV2_GSWP3-W5E5,CCV_20CRv3,SCV2_20CRv3,CCV_20CRv3-ERA5,SCV2_20CRv3-ERA5,CCV_20CRv3-W5E5,SCV2_20CRv3-W5E5
Bombus_alpinus,0.955 (0.009),0.928 (0.021),0.951 (0.012),0.928 (0.022),0.954 (0.012),0.932 (0.018),0.952 (0.010),0.932 (0.021)
Bombus_argillaceus,0.907 (0.026),0.878 (0.035),0.906 (0.024),0.874 (0.026),0.905 (0.021),0.871 (0.043),0.913 (0.020),0.865 (0.052)
Bombus_balteatus,0.957 (0.022),0.950 (0.024),0.957 (0.018),0.949 (0.018),0.959 (0.015),0.947 (0.023),0.954 (0.021),0.946 (0.019)
Bombus_barbutellus,0.830 (0.014),0.739 (0.027),0.835 (0.009),0.737 (0.028),0.836 (0.007),0.749 (0.022),0.833 (0.011),0.748 (0.023)
Bombus_bohemicus,0.855 (0.002),0.819 (0.006),0.854 (0.004),0.815 (0.007),0.853 (0.003),0.819 (0.005),0.856 (0.003),0.819 (0.006)
Bombus_campestris,0.863 (0.009),0.808 (0.009),0.865 (0.009),0.806 (0.014),0.864 (0.008),0.811 (0.007),0.864 (0.008),0.812 (0.013)
Bombus_cingulatus,0.932 (0.014),0.912 (0.015),0.931 (0.013),0.912 (0.013),0.929 (0.015),0.918 (0.018),0.930 (0.015),0.917 (0.014)
Bombus_confusus,0.815 (0.033),0.775 (0.041),0.815 (0.026),0.778 (0.054),0.823 (0.025),0.779 (0.043),0.815 (0.033),0.765 (0.041)
Bombus_consobrinus,0.949 (0.012),0.910 (0.026),0.951 (0.013),0.912 (0.026),0.952 (0.013),0.910 (0.033),0.950 (0.014),0.910 (0.027)
Bombus_cryptarum,0.792 (0.013),0.732 (0.016),0.790 (0.014),0.738 (0.017),0.792 (0.016),0.728 (0.015),0.790 (0.013),0.736 (0.019)
Bombus_distinguendus,0.832 (0.020),0.799 (0.030),0.836 (0.017),0.807 (0.024),0.834 (0.025),0.798 (0.030),0.834 (0.023),0.805 (0.017)
Bombus_flavidus,0.865 (0.021),0.851 (0.032),0.871 (0.025),0.849 (0.033),0.873 (0.025),0.850 (0.026),0.876 (0.023),0.852 (0.029)
Bombus_gerstaeckeri,0.950 (0.018),0.926 (0.035),0.946 (0.015),0.932 (0.029),0.950 (0.015),0.925 (0.020),0.948 (0.015),0.918 (0.038)
Bombus_hortorum,0.762 (0.008),0.747 (0.009),0.762 (0.009),0.750 (0.008),0.762 (0.009),0.748 (0.011),0.762 (0.010),0.743 (0.011)
Bombus_humilis,0.828 (0.010),0.762 (0.019),0.832 (0.008),0.757 (0.010),0.829 (0.012),0.742 (0.015),0.834 (0.007),0.754 (0.017)
Bombus_hyperboreus,0.969 (0.020),0.957 (0.039),0.962 (0.020),0.945 (0.036),0.963 (0.022),0.955 (0.036),0.967 (0.014),0.957 (0.022)
Bombus_hypnorum,0.797 (0.008),0.773 (0.008),0.797 (0.007),0.774 (0.011),0.796 (0.008),0.772 (0.011),0.794 (0.010),0.775 (0.010)
Bombus_jonellus,0.866 (0.005),0.837 (0.006),0.866 (0.004),0.838 (0.006),0.867 (0.005),0.840 (0.007),0.866 (0.005),0.842 (0.006)
Bombus_lapidarius,0.792 (0.005),0.779 (0.008),0.792 (0.004),0.781 (0.006),0.793 (0.005),0.781 (0.007),0.793 (0.003),0.784 (0.006)
Bombus_lapponicus,0.966 (0.011),0.961 (0.014),0.967 (0.013),0.962 (0.014),0.966 (0.011),0.962 (0.011),0.965 (0.013),0.962 (0.010)
Bombus_lucorum,0.742 (0.007),0.748 (0.006),0.744 (0.006),0.745 (0.008),0.744 (0.007),0.748 (0.005),0.744 (0.006),0.749 (0.005)
Bombus_mastrucatus,0.907 (0.011),0.857 (0.022),0.910 (0.011),0.850 (0.020),0.907 (0.011),0.850 (0.026),0.910 (0.010),0.856 (0.021)
Bombus_mendax,0.983 (0.019),0.974 (0.016),0.984 (0.014),0.969 (0.024),0.983 (0.017),0.977 (0.018),0.987 (0.010),0.970 (0.023)
Bombus_mesomelas,0.957 (0.016),0.934 (0.039),0.956 (0.015),0.928 (0.039),0.950 (0.022),0.930 (0.025),0.958 (0.015),0.935 (0.028)
Bombus_monticola,0.927 (0.014),0.902 (0.016),0.929 (0.012),0.903 (0.017),0.926 (0.010),0.886 (0.023),0.926 (0.013),0.898 (0.018)
Bombus_mucidus,0.939 (0.020),0.923 (0.024),0.940 (0.011),0.913 (0.027),0.936 (0.020),0.917 (0.027),0.942 (0.017),0.926 (0.019)
Bombus_muscorum,0.832 (0.013),0.800 (0.021),0.827 (0.009),0.802 (0.012),0.830 (0.014),0.801 (0.011),0.826 (0.011),0.799 (0.022)
Bombus_norvegicus,0.838 (0.012),0.793 (0.030),0.839 (0.009),0.792 (0.012),0.841 (0.008),0.792 (0.013),0.838 (0.014),0.793 (0.010)
Bombus_pascuorum,0.687 (0.008),0.689 (0.010),0.686 (0.009),0.687 (0.010),0.687 (0.008),0.687 (0.008),0.687 (0.007),0.689 (0.008)
Bombus_pomorum,0.871 (0.042),0.840 (0.055),0.867 (0.041),0.828 (0.055),0.863 (0.041),0.828 (0.060),0.861 (0.035),0.818 (0.047)
Bombus_pratorum,0.728 (0.008),0.725 (0.011),0.727 (0.007),0.728 (0.008),0.728 (0.008),0.731 (0.007),0.729 (0.008),0.730 (0.008)
Bombus_pyrenaeus,0.964 (0.017),0.946 (0.017),0.963 (0.015),0.944 (0.022),0.962 (0.022),0.944 (0.017),0.963 (0.017),0.951 (0.015)
Bombus_pyrrhopygus,0.965 (0.022),0.952 (0.040),0.961 (0.025),0.961 (0.021),0.960 (0.024),0.961 (0.024),0.962 (0.020),0.952 (0.031)
Bombus_quadricolor,0.888 (0.014),0.841 (0.023),0.890 (0.016),0.844 (0.023),0.891 (0.020),0.839 (0.018),0.892 (0.013),0.838 (0.026)
Bombus_ruderarius,0.834 (0.007),0.764 (0.016),0.831 (0.010),0.765 (0.012),0.834 (0.010),0.769 (0.016),0.836 (0.008),0.760 (0.018)
Bombus_ruderatus,0.846 (0.016),0.793 (0.031),0.844 (0.017),0.787 (0.013),0.842 (0.011),0.792 (0.027),0.845 (0.012),0.788 (0.017)
Bombus_rupestris,0.881 (0.006),0.836 (0.009),0.883 (0.005),0.831 (0.015),0.881 (0.006),0.838 (0.009),0.883 (0.007),0.836 (0.009)
Bombus_semenoviellus,0.917 (0.013),0.895 (0.015),0.917 (0.009),0.891 (0.025),0.915 (0.008),0.897 (0.028),0.914 (0.016),0.895 (0.022)
Bombus_sichelii,0.958 (0.019),0.947 (0.028),0.958 (0.022),0.940 (0.021),0.961 (0.013),0.947 (0.017),0.962 (0.014),0.948 (0.021)
Bombus_soroeensis,0.854 (0.008),0.819 (0.009),0.853 (0.005),0.821 (0.011),0.855 (0.007),0.824 (0.009),0.854 (0.007),0.822 (0.009)
Bombus_sporadicus,0.928 (0.010),0.912 (0.019),0.928 (0.013),0.914 (0.017),0.929 (0.014),0.917 (0.019),0.929 (0.014),0.913 (0.017)
Bombus_subterraneus,0.874 (0.015),0.816 (0.030),0.873 (0.013),0.810 (0.033),0.872 (0.012),0.819 (0.021),0.877 (0.012),0.818 (0.028)
Bombus_sylvarum,0.847 (0.007),0.787 (0.011),0.847 (0.009),0.779 (0.021),0.849 (0.007),0.789 (0.012),0.847 (0.009),0.785 (0.017)
Bombus_sylvestris,0.858 (0.004),0.814 (0.007),0.858 (0.004),0.818 (0.008),0.858 (0.003),0.812 (0.008),0.859 (0.004),0.818 (0.009)
Bombus_terrestris,0.806 (0.005),0.779 (0.010),0.807 (0.005),0.777 (0.006),0.806 (0.007),0.777 (0.009),0.806 (0.005),0.783 (0.010)
Bombus_vestalis,0.902 (0.005),0.864 (0.010),0.900 (0.005),0.867 (0.009),0.901 (0.005),0.868 (0.012),0.901 (0.007),0.866 (0.009)
Bombus_veteranus,0.857 (0.020),0.816 (0.030),0.857 (0.023),0.818 (0.028),0.858 (0.020),0.821 (0.024),0.857 (0.021),0.813 (0.027)
